size,cpu_bw,mem,requests_per_second,completed_requests,failed_requests,html_transfer_byte,mean_time_per_request,total_transfer_byte,transfer_rate_kbyte_per_second,rx_bytes,rx_packets,tx_bytes,tx_packets,vnf
0,0.1,64,739.47,44617.0,0.0,0.0,1.352,12269675.0,198.59,15223818.0,44754.0,7763978.0,44625.0,haproxy
0,0.1,64,738.96,44855.0,0.0,0.0,1.353,12335125.0,198.45,15304712.0,44988.0,7805258.0,44861.0,haproxy
0,0.1,64,732.13,44385.0,0.0,0.0,1.366,12205875.0,196.62,15144574.0,44520.0,7723478.0,44391.0,haproxy
0,0.1,64,717.77,43431.0,0.0,0.0,1.393,11943525.0,192.76,14819260.0,43566.0,7557614.0,43439.0,haproxy
0,0.1,64,720.34,43557.0,0.0,0.0,1.388,11978175.0,193.45,14862094.0,43690.0,7579538.0,43565.0,haproxy
0,0.1,64,730.75,43845.0,0.0,0.0,1.368,12057375.0,196.25,14960236.0,43977.0,7629650.0,43853.0,haproxy
0,0.1,64,729.69,43916.0,0.0,0.0,1.37,12076900.0,195.96,14984513.0,44049.0,7641872.0,43922.0,haproxy
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5919309945.0,679768.0,30392446.0,460447.0,haproxy
1,0.1,64,0.31,19.0,0.0,6049383134.0,3212.472,6049388150.0,96787.34,6095329514.0,695970.0,30462876.0,461524.0,haproxy
1,0.1,64,0.31,19.0,0.0,6049383134.0,3265.606,6049388150.0,95212.53,6019311395.0,688957.0,30356916.0,459898.0,haproxy
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5922692591.0,679907.0,29957740.0,453872.0,haproxy
1,0.1,64,0.31,19.0,0.0,6049383134.0,3229.91,6049388150.0,96264.8,6087043909.0,698862.0,30567646.0,463113.0,haproxy
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5974518253.0,687066.0,30595630.0,463537.0,haproxy
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5873062653.0,670782.0,29897938.0,452965.0,haproxy
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5868575695.0,669943.0,30196984.0,457494.0,haproxy
1,0.1,64,0.29,18.0,0.0,5730994548.0,3390.856,5730999300.0,91695.62,5774520070.0,659053.0,29064892.0,440342.0,haproxy
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5883442019.0,674305.0,30029668.0,454950.0,haproxy
1,0.1,64,0.31,19.0,0.0,6049383134.0,3210.327,6049388150.0,96852.01,6095523404.0,698791.0,30615174.0,463831.0,haproxy
1,0.1,64,0.31,19.0,0.0,6049383134.0,3249.687,6049388150.0,95678.95,6042538185.0,692436.0,30350432.0,459804.0,haproxy
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5957687163.0,684837.0,30823792.0,466994.0,haproxy
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5901394191.0,678179.0,30329116.0,459484.0,haproxy
1,0.1,64,0.31,19.0,0.0,6049383134.0,3247.31,6049388150.0,95748.97,6022368653.0,691190.0,30020836.0,454826.0,haproxy
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5932939751.0,681507.0,30039340.0,455108.0,haproxy
1,0.1,64,0.31,19.0,0.0,6049383134.0,3241.148,6049388150.0,95931.01,5986293985.0,686952.0,30052802.0,455301.0,haproxy
1,0.1,64,0.3,18.0,0.0,5730994548.0,3373.824,5730999300.0,92158.53,5774595882.0,660443.0,29439034.0,446013.0,haproxy
1,0.1,64,0.31,19.0,0.0,6049383134.0,3256.473,6049388150.0,95479.56,6012880879.0,686327.0,29903746.0,453041.0,haproxy
1,0.1,64,0.32,20.0,0.0,6367771720.0,3115.224,6367777000.0,99808.74,6275838783.0,720902.0,31468896.0,476764.0,haproxy
0,0.1,128,721.67,43599.0,0.0,0.0,1.386,11989725.0,193.81,14876416.0,43732.0,7586846.0,43607.0,haproxy
0,0.1,128,723.55,43413.0,0.0,0.0,1.382,11938575.0,194.31,14812858.0,43544.0,7554482.0,43421.0,haproxy
0,0.1,128,709.7,42584.0,0.0,0.0,1.409,11710600.0,190.59,14530301.0,42717.0,7410104.0,42590.0,haproxy
0,0.1,128,731.63,44366.0,0.0,0.0,1.367,12200650.0,196.48,15137963.0,44499.0,7720304.0,44374.0,haproxy
0,0.1,128,736.95,44731.0,0.0,0.0,1.357,12301025.0,197.91,15262824.0,44870.0,7783946.0,44741.0,haproxy
0,0.1,128,721.62,43718.0,0.0,0.0,1.386,12022450.0,193.8,14916995.0,43851.0,7607552.0,43726.0,haproxy
0,0.1,128,737.04,44753.0,0.0,0.0,1.357,12307075.0,197.94,15269930.0,44886.0,7787510.0,44759.0,haproxy
0,0.1,128,722.54,43404.0,0.0,0.0,1.384,11936100.0,194.04,14810053.0,43539.0,7552784.0,43410.0,haproxy
0,0.1,128,725.47,43528.0,0.0,0.0,1.378,11970200.0,194.83,14851941.0,43657.0,7574492.0,43536.0,haproxy
0,0.1,128,722.05,43857.0,0.0,0.0,1.385,12060675.0,193.91,14964526.0,43992.0,7631738.0,43865.0,haproxy
0,0.1,128,733.43,44310.0,0.0,0.0,1.363,12185250.0,196.96,15118867.0,44443.0,7710428.0,44316.0,haproxy
0,0.1,128,720.26,43448.0,0.0,0.0,1.388,11948200.0,193.43,14824859.0,43580.0,7560704.0,43458.0,haproxy
0,0.1,128,737.94,44544.0,0.0,0.0,1.355,12249600.0,198.18,15198529.0,44675.0,7751276.0,44552.0,haproxy
0,0.1,128,715.9,43389.0,0.0,0.0,1.397,11931975.0,192.26,14804806.0,43522.0,7550438.0,43399.0,haproxy
0,0.1,128,719.89,43634.0,0.0,0.0,1.389,11999350.0,193.33,14888351.0,43767.0,7592804.0,43640.0,haproxy
0,0.1,128,729.2,43752.0,0.0,0.0,1.371,12031800.0,195.83,14928457.0,43883.0,7613336.0,43758.0,haproxy
0,0.1,128,741.58,44495.0,0.0,0.0,1.348,12236125.0,199.16,15181952.0,44628.0,7742750.0,44503.0,haproxy
0,0.1,128,741.23,44498.0,0.0,0.0,1.349,12236950.0,199.06,15182975.0,44631.0,7743272.0,44506.0,haproxy
0,0.1,128,712.42,43280.0,0.0,0.0,1.404,11902000.0,191.32,14767637.0,43413.0,7531472.0,43290.0,haproxy
0,0.1,128,735.26,44539.0,0.0,0.0,1.36,12248225.0,197.46,15196956.0,44672.0,7750406.0,44547.0,haproxy
1,0.1,128,0.31,19.0,0.0,6049383134.0,3244.852,6049388150.0,95821.5,5990607735.0,687535.0,30622360.0,463942.0,haproxy
1,0.1,128,0.31,19.0,0.0,6049383134.0,3220.372,6049388150.0,96549.9,6095534196.0,697219.0,30393978.0,460463.0,haproxy
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5921279313.0,680040.0,29944452.0,453648.0,haproxy
1,0.1,128,0.3,18.0,0.0,5730994548.0,3354.013,5730999300.0,92702.87,5774797702.0,662733.0,29954130.0,453807.0,haproxy
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6201333829.0,714209.0,31469706.0,476767.0,haproxy
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5963518761.0,681092.0,29999262.0,454485.0,haproxy
1,0.1,128,0.31,19.0,0.0,6049383134.0,3185.588,6049388150.0,97604.15,6095531424.0,698213.0,30185068.0,457306.0,haproxy
1,0.1,128,0.31,19.0,0.0,6049383134.0,3214.979,6049388150.0,96711.86,6095528300.0,698931.0,30660156.0,464512.0,haproxy
1,0.1,128,0.31,19.0,0.0,6049383134.0,3218.147,6049388150.0,96616.66,6095371377.0,696431.0,30675506.0,464743.0,haproxy
1,0.1,128,0.31,19.0,0.0,6049383134.0,3213.245,6049388150.0,96764.04,6095520286.0,698548.0,30650664.0,464366.0,haproxy
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5918105565.0,679538.0,30315586.0,459293.0,haproxy
1,0.1,128,0.3,18.0,0.0,5730994548.0,3364.054,5730999300.0,92426.17,5774385740.0,656908.0,29154472.0,441698.0,haproxy
1,0.1,128,0.3,19.0,0.0,6049383134.0,3280.196,6049388150.0,94789.02,6021834319.0,691627.0,31088350.0,470993.0,haproxy
1,0.1,128,0.32,19.0,0.0,6049383134.0,3161.032,6049388150.0,98362.38,6095442874.0,697426.0,30596526.0,463545.0,haproxy
1,0.1,128,0.31,19.0,0.0,6049383134.0,3205.666,6049388150.0,96992.82,6095672662.0,697048.0,30349542.0,459769.0,haproxy
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5894572357.0,675238.0,30085174.0,455797.0,haproxy
1,0.1,128,0.3,18.0,0.0,5730994548.0,3341.304,5730999300.0,93055.48,5774569314.0,659843.0,29391526.0,445291.0,haproxy
1,0.1,128,0.3,18.0,0.0,5730994548.0,3384.919,5730999300.0,91856.43,5774776728.0,659398.0,29111876.0,441008.0,haproxy
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5985484003.0,685561.0,30093822.0,455927.0,haproxy
1,0.1,128,0.31,19.0,0.0,6049383134.0,3258.752,6049388150.0,95412.79,6046795959.0,693259.0,30218608.0,457824.0,haproxy
0,0.1,256,724.92,43495.0,0.0,0.0,1.379,11961125.0,194.68,14840820.0,43626.0,7568618.0,43501.0,haproxy
0,0.1,256,730.86,44301.0,0.0,0.0,1.368,12182775.0,196.28,15115798.0,44434.0,7708862.0,44307.0,haproxy
0,0.1,256,728.41,44176.0,0.0,0.0,1.373,12148400.0,195.62,15073437.0,44313.0,7687244.0,44184.0,haproxy
0,0.1,256,724.57,43665.0,0.0,0.0,1.38,12007875.0,194.59,14898922.0,43798.0,7598330.0,43673.0,haproxy
0,0.1,256,714.13,43394.0,0.0,0.0,1.4,11933350.0,191.78,14806643.0,43529.0,7551044.0,43400.0,haproxy
