size,cpu_bw,mem,requests_per_second,completed_requests,failed_requests,html_transfer_byte,mean_time_per_request,total_transfer_byte,transfer_rate_kbyte_per_second,rx_bytes,rx_packets,tx_bytes,tx_packets,vnf
0,0.1,128,1814.09,108921.0,0.0,0.0,0.551,33282395.0,541.33,40773387.0,113363.0,19246198.0,113241.0,nginx
0,0.1,128,1771.3,106434.0,0.0,0.0,0.565,32522473.0,528.56,39842523.0,110776.0,18806618.0,110655.0,nginx
0,0.1,128,1829.09,110240.0,0.0,0.0,0.547,33685437.0,545.81,41267415.0,114740.0,19479132.0,114612.0,nginx
0,0.1,128,1783.36,107161.0,0.0,0.0,0.561,32744582.0,532.16,40114616.0,111537.0,18934920.0,111410.0,nginx
0,0.1,128,1777.67,106985.0,0.0,0.0,0.563,32690815.0,530.46,40048995.0,111353.0,18903992.0,111228.0,nginx
0,0.1,128,1763.28,105797.0,0.0,0.0,0.567,32327815.0,526.17,39604059.0,110113.0,18694280.0,109996.0,nginx
0,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40081521.0,111443.0,18919444.0,111318.0,nginx
0,0.1,128,1798.43,108078.0,0.0,0.0,0.556,33024789.0,536.66,40457901.0,112487.0,19097166.0,112365.0,nginx
0,0.1,128,1792.47,107698.0,0.0,0.0,0.558,32908685.0,534.88,40315827.0,112094.0,19029958.0,111969.0,nginx
0,0.1,128,1813.76,108826.0,0.0,0.0,0.551,33253369.0,541.23,40738083.0,113268.0,19229288.0,113142.0,nginx
0,0.1,128,1833.41,110187.0,0.0,0.0,0.545,33669257.0,547.09,41247200.0,114679.0,19469572.0,114554.0,nginx
0,0.1,128,1809.53,108741.0,0.0,0.0,0.553,33227403.0,539.97,40705971.0,113175.0,19214292.0,113054.0,nginx
0,0.1,128,1778.92,106763.0,0.0,0.0,0.562,32622971.0,530.84,39966045.0,111124.0,18865300.0,111002.0,nginx
0,0.1,128,1727.34,103695.0,0.0,0.0,0.579,31685527.0,515.44,38817459.0,107929.0,18322688.0,107808.0,nginx
0,0.1,128,1816.3,109024.0,0.0,0.0,0.551,33313869.0,541.99,40811799.0,113468.0,19264218.0,113347.0,nginx
0,0.1,128,1773.45,106407.0,0.0,0.0,0.564,32514211.0,529.2,39832215.0,110745.0,18802490.0,110635.0,nginx
0,0.1,128,1768.21,106347.0,0.0,0.0,0.566,32495891.0,527.64,39810058.0,110687.0,18791076.0,110562.0,nginx
0,0.1,128,1790.58,107544.0,0.0,0.0,0.558,32861649.0,534.31,40258215.0,111934.0,19002882.0,111811.0,nginx
0,0.1,128,1810.54,109181.0,0.0,0.0,0.552,33361822.0,540.27,40870074.0,113633.0,19291634.0,113507.0,nginx
1,0.1,128,0.38,23.0,0.0,7322937478.0,2621.148,7322944264.0,118622.33,7352497018.0,447353.0,29253974.0,443195.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7282151485.0,443319.0,29026860.0,439756.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7146714927.0,434944.0,28512924.0,431968.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7125875851.0,434162.0,28419148.0,430532.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7349161343.0,447064.0,29225646.0,442753.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7188659189.0,438051.0,28649946.0,434033.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7151874935.0,435032.0,28417696.0,430504.0,nginx
1,0.1,128,0.38,23.0,0.0,7322937478.0,2615.115,7322944264.0,118895.98,7352541198.0,447263.0,29233424.0,442874.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7483762592.0,455380.0,29783892.0,451208.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7320366061.0,445671.0,29166300.0,441850.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7257487713.0,442013.0,28920402.0,438125.0,nginx
1,0.1,128,0.38,23.0,0.0,7322937478.0,2609.29,7322944264.0,119161.42,7352511206.0,447327.0,29312704.0,444082.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7098071301.0,432099.0,28279602.0,428427.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7264066875.0,441966.0,28928126.0,438255.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7180860235.0,436742.0,28604658.0,433359.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7096436019.0,431982.0,28299030.0,428713.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7270473535.0,442704.0,28955136.0,438668.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7226908753.0,440085.0,28807266.0,436419.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7237484697.0,440489.0,28788480.0,436140.0,nginx
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7330097847.0,446056.0,29213686.0,442585.0,nginx
0,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40348419.0,112185.0,19045410.0,112059.0,nginx
0,0.1,256,1795.78,107747.0,0.0,0.0,0.557,32923679.0,535.87,40334121.0,112144.0,19038484.0,112018.0,nginx
0,0.1,256,1753.77,105709.0,0.0,0.0,0.57,32300931.0,523.33,39570351.0,110019.0,18678390.0,109901.0,nginx
0,0.1,256,1787.65,107259.0,0.0,0.0,0.559,32774564.0,533.44,40151239.0,111633.0,18952476.0,111514.0,nginx
0,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40518087.0,112653.0,19125800.0,112532.0,nginx
0,0.1,256,1756.38,105383.0,0.0,0.0,0.569,32201307.0,524.11,39449535.0,109689.0,18620892.0,109562.0,nginx
0,0.1,256,1802.06,108389.0,0.0,0.0,0.555,33119823.0,537.74,40574739.0,112817.0,19152096.0,112688.0,nginx
0,0.1,256,1754.19,105320.0,0.0,0.0,0.57,32182073.0,523.45,39425607.0,109618.0,18609658.0,109495.0,nginx
0,0.1,256,1789.18,107843.0,0.0,0.0,0.559,32953011.0,533.9,40369929.0,112242.0,19055328.0,112116.0,nginx
0,0.1,256,1759.77,105914.0,0.0,0.0,0.568,32363573.0,525.12,39648075.0,110238.0,18714646.0,110113.0,nginx
0,0.1,256,1758.81,105704.0,0.0,0.0,0.569,32299401.0,524.83,39569235.0,110016.0,18678090.0,109903.0,nginx
0,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40025529.0,111289.0,18892800.0,111160.0,nginx
0,0.1,256,1743.63,104618.0,0.0,0.0,0.574,31967569.0,520.31,39163065.0,108891.0,18485606.0,108765.0,nginx
0,0.1,256,1817.46,109533.0,0.0,0.0,0.55,33469403.0,542.33,41001609.0,113996.0,19354234.0,113879.0,nginx
0,0.1,256,1828.73,109824.0,0.0,0.0,0.547,33558317.0,545.7,41111619.0,114306.0,19405726.0,114181.0,nginx
0,0.1,256,1810.15,109122.0,0.0,0.0,0.552,33343813.0,540.15,40848069.0,113573.0,19281236.0,113446.0,nginx
0,0.1,256,1765.58,105935.0,0.0,0.0,0.566,32369999.0,526.86,39655689.0,110256.0,18718432.0,110136.0,nginx
0,0.1,256,1805.33,108421.0,0.0,0.0,0.554,33129615.0,538.72,40586709.0,112850.0,19157664.0,112720.0,nginx
0,0.1,256,1758.27,105496.0,0.0,0.0,0.569,32235841.0,524.67,39491271.0,109798.0,18641090.0,109683.0,nginx
0,0.1,256,1788.53,107312.0,0.0,0.0,0.559,32790745.0,533.7,40171191.0,111690.0,18961838.0,111569.0,nginx
